subject,body
Problema di gestione permessi,I permessi assegnati agli utenti non vengono applicati correttamente.
Richiesta informazioni su SLA,Potete fornire dettagli sugli accordi di livello di servizio disponibili?
Errore di connessione ai servizi esterni,La piattaforma non riesce a collegarsi correttamente a servizi esterni.
Problema di sincronizzazione in tempo reale,I dati non risultano sincronizzati in tempo reale tra i sistemi.
Richiesta supporto per analisi statistiche,Desideriamo supporto per l’implementazione di analisi statistiche avanzate.
Errore nel salvataggio delle modifiche,Le modifiche apportate non vengono salvate correttamente.
Problema di gestione notifiche,Le notifiche di sistema non vengono inviate come previsto.
Richiesta informazioni su roadmap prodotto,Vorrei conoscere le prossime evoluzioni previste per il prodotto.
Errore di parsing dei dati,Il sistema segnala errori durante il parsing dei dati in ingresso.
Problema di carico del sistema,Il sistema va in sovraccarico durante i picchi di utilizzo.
Richiesta supporto per esportazione dati,Abbiamo bisogno di assistenza per esportare grandi volumi di dati.
Errore nella pianificazione processi,La pianificazione automatica dei processi non funziona correttamente.
Problema di latenza API,Le chiamate API presentano latenze elevate.
Richiesta informazioni su backup e recovery,Vorrei dettagli sulle procedure di backup e ripristino dei dati.
Errore di autorizzazione,Il sistema restituisce errori di autorizzazione anche per utenti abilitati.
Problema di configurazione rete,Sono presenti problemi legati alla configurazione di rete.
Richiesta supporto per sicurezza applicativa,Desideriamo supporto per migliorare la sicurezza applicativa.
Errore nei dati aggregati,I dati aggregati non risultano coerenti con i dati di dettaglio.
Problema di gestione sessioni,Le sessioni utente scadono in modo anomalo.
Richiesta consulenza su architettura dati,Avremmo bisogno di una consulenza sull’architettura dei dati.
Errore di importazione CSV,L’importazione di file CSV genera errori non previsti.
Problema di monitoraggio,Il sistema di monitoraggio non rileva correttamente alcune anomalie.
Richiesta supporto per personalizzazioni,Desideriamo assistenza per personalizzare alcune funzionalità.
Errore di aggiornamento configurazioni,Le configurazioni aggiornate non vengono applicate correttamente.
Problema di gestione log,I log di sistema non vengono registrati in modo completo.
Richiesta informazioni su licenze,Potete fornire dettagli sulle tipologie di licenze disponibili?
Errore di avvio del servizio,Il servizio non si avvia correttamente dopo il riavvio.
Problema di consistenza dei dati,Sono state rilevate incongruenze nella consistenza dei dati.
Richiesta supporto per gestione incidenti,Vi contatto per ricevere supporto nella gestione strutturata degli incidenti di sistema.
Errore nella pianificazione backup,La pianificazione dei backup automatici presenta errori ricorrenti.
Problema di accesso ai report,Alcuni utenti non riescono ad accedere ai report disponibili.
Richiesta informazioni su crittografia dati,Vorrei maggiori informazioni sulle tecniche di crittografia utilizzate per la protezione dei dati.
Errore nella gestione transazioni,Si verificano errori nella gestione delle transazioni di sistema.
Problema di aggiornamento modelli analitici,I modelli analitici non vengono aggiornati correttamente.
Richiesta supporto per orchestrazione servizi,Abbiamo bisogno di assistenza per l’orchestrazione dei servizi applicativi.
Errore di validazione configurazioni,Le configurazioni inserite non superano i controlli di validazione.
Problema di isolamento ambienti,Gli ambienti di test e produzione non risultano correttamente isolati.
Richiesta informazioni su audit interni,Vorrei informazioni sulle procedure di audit interno disponibili.
Errore nella gestione dei workflow,I workflow configurati non vengono eseguiti correttamente.
Problema di archiviazione documentale,Si riscontrano problemi nell’archiviazione dei documenti.
Richiesta supporto per data quality,Desideriamo supporto per migliorare la qualità dei dati.
Errore di replica servizi,La replica dei servizi non funziona come previsto.
Problema di compatibilità hardware,La piattaforma presenta problemi con alcune configurazioni hardware.
Richiesta informazioni su disaster recovery,Vorrei ricevere dettagli sulle soluzioni di disaster recovery.
Errore di gestione configurazioni dinamiche,Le configurazioni dinamiche non vengono applicate correttamente.
Problema di bilanciamento del carico,Il bilanciamento del carico non distribuisce correttamente le richieste.
Richiesta supporto per controllo accessi,Abbiamo bisogno di assistenza per il controllo degli accessi.
Errore nei processi di validazione dati,I processi di validazione dei dati producono risultati errati.
Problema di aggiornamento metadati,I metadati non vengono aggiornati correttamente.
Richiesta informazioni su conformità normativa,Vorrei informazioni sulla conformità normativa della piattaforma.
Errore di sincronizzazione configurazioni,Le configurazioni non risultano sincronizzate tra gli ambienti.
Problema di gestione dipendenze,La gestione delle dipendenze software presenta criticità.
Richiesta supporto per ottimizzazione costi,Desideriamo supporto per ottimizzare i costi infrastrutturali.
Errore nella gestione code messaggi,Le code di messaggi non vengono elaborate correttamente.
Problema di disponibilità servizio,Il servizio non è sempre disponibile durante l’orario operativo.
Richiesta consulenza su scalabilità,Avremmo bisogno di una consulenza sulle strategie di scalabilità.
Errore di aggiornamento policy,Le policy di sicurezza non vengono aggiornate correttamente.
Problema di tracciamento eventi,Il tracciamento degli eventi non risulta completo.
Richiesta supporto per sicurezza perimetrale,Desideriamo migliorare la sicurezza perimetrale dei sistemi.
Errore di configurazione storage,La configurazione dello storage presenta errori.
Problema di gestione snapshot,La gestione delle snapshot non funziona correttamente.
Richiesta informazioni su standard di sicurezza,Vorrei informazioni sugli standard di sicurezza adottati.
Errore nella gestione delle notifiche critiche,Le notifiche critiche non vengono inviate correttamente.
Problema di consistenza configurazioni,Sono presenti incongruenze nelle configurazioni.
Richiesta supporto per migrazione cloud,Abbiamo bisogno di supporto per la migrazione verso il cloud.
Errore di allocazione spazio disco,Si verificano errori nell’allocazione dello spazio disco.
Problema di monitoraggio prestazioni,Il monitoraggio delle prestazioni non fornisce dati accurati.
Richiesta informazioni su supporto h24,Vorrei informazioni sulle opzioni di supporto attivo 24/7.
Errore di gestione credenziali,Il sistema non gestisce correttamente le credenziali.
Problema di sicurezza infrastrutturale,Sono state individuate criticità nella sicurezza infrastrutturale.
Richiesta consulenza su continuità operativa,Desideriamo una consulenza sulla continuità operativa.
Errore di sincronizzazione log,I log non vengono sincronizzati correttamente.
Problema di gestione configurazioni centralizzate,La gestione centralizzata delle configurazioni presenta problemi.
Richiesta informazioni su piani di servizio,Vorrei informazioni sui diversi piani di servizio disponibili.
Errore di arresto anomalo del servizio,Il servizio si arresta in modo anomalo senza preavviso.
Richiesta supporto per gestione capacità,Vi contatto per ricevere supporto nella gestione della capacità infrastrutturale.
Errore nella configurazione dei servizi,Alcuni servizi risultano configurati in modo errato.
Problema di accesso ai dati storici,Non è possibile accedere correttamente ai dati storici archiviati.
Richiesta informazioni su continuità del servizio,Vorrei ricevere dettagli sulle misure adottate per garantire la continuità del servizio.
Errore nella gestione dei certificati SSL,I certificati SSL non vengono gestiti correttamente dal sistema.
Problema di aggiornamento sistemi legacy,I sistemi legacy non vengono aggiornati correttamente.
Richiesta supporto per segmentazione rete,Abbiamo bisogno di assistenza per la segmentazione della rete.
Errore di sincronizzazione database,La sincronizzazione del database presenta errori ricorrenti.
Problema di disponibilità risorse,Le risorse di sistema non risultano sempre disponibili.
Richiesta informazioni su policy di retention,Vorrei informazioni sulle policy di conservazione dei dati.
Errore nella gestione delle dipendenze applicative,Le dipendenze applicative non vengono risolte correttamente.
Problema di configurazione DNS,Sono presenti errori nella configurazione DNS.
Richiesta supporto per sicurezza dei container,Desideriamo supporto per migliorare la sicurezza dei container.
Errore di aggiornamento sistemi distribuiti,L’aggiornamento dei sistemi distribuiti non va a buon fine.
Problema di orchestrazione container,L’orchestrazione dei container non funziona correttamente.
Richiesta informazioni su standard di compliance,Vorrei informazioni sugli standard di compliance supportati.
Errore nella gestione delle chiavi crittografiche,Le chiavi crittografiche non vengono gestite correttamente.
Problema di accesso ai servizi interni,Alcuni servizi interni non sono raggiungibili.
Richiesta supporto per logging centralizzato,Abbiamo bisogno di assistenza per implementare un logging centralizzato.
Errore di configurazione load balancer,Il load balancer non è configurato correttamente.
Problema di gestione patch di sicurezza,Le patch di sicurezza non vengono applicate correttamente.
Richiesta informazioni su certificazioni ISO,Vorrei informazioni sulle certificazioni ISO possedute.
Errore di sincronizzazione ambienti,Gli ambienti non risultano sincronizzati correttamente.
Problema di gestione backup incrementali,I backup incrementali non vengono eseguiti correttamente.
Richiesta supporto per ottimizzazione database,Desideriamo supporto per ottimizzare le prestazioni del database.
Errore nella gestione delle configurazioni di rete,Le configurazioni di rete presentano errori.
Problema di disponibilità applicativa,L’applicazione non è sempre disponibile.
Richiesta consulenza su resilienza sistemi,Avremmo bisogno di una consulenza sulla resilienza dei sistemi.
Errore di gestione dei token di accesso,I token di accesso non vengono gestiti correttamente.
Problema di monitoraggio sicurezza,Il monitoraggio della sicurezza non rileva tutte le anomalie.
Richiesta supporto per gestione vulnerabilità,Abbiamo bisogno di supporto per la gestione delle vulnerabilità.
Errore di configurazione proxy,La configurazione del proxy presenta errori.
Problema di integrazione sistemi esterni,L’integrazione con sistemi esterni presenta criticità.
Richiesta informazioni su supporto dedicato,Vorrei informazioni sulle opzioni di supporto dedicato.
Errore nella gestione delle code asincrone,Le code asincrone non vengono gestite correttamente.
Problema di aggiornamento policy di accesso,Le policy di accesso non vengono aggiornate correttamente.
Richiesta supporto per gestione SLA,Desideriamo assistenza per la gestione degli SLA.
Errore di sincronizzazione dati in cloud,I dati in cloud non risultano sincronizzati correttamente.
Problema di controllo versioni,Il controllo delle versioni non funziona come previsto.
Richiesta consulenza su architetture cloud,Avremmo bisogno di una consulenza sulle architetture cloud.
Errore nella gestione delle risorse condivise,Le risorse condivise non vengono gestite correttamente.
Problema di disponibilità dei servizi critici,Alcuni servizi critici non risultano disponibili.
Richiesta informazioni su livelli di servizio,Vorrei informazioni sui livelli di servizio garantiti.
Errore di configurazione sicurezza applicativa,La sicurezza applicativa non è configurata correttamente.
Problema di gestione aggiornamenti automatici,Gli aggiornamenti automatici non funzionano come previsto.
Richiesta supporto per audit di sicurezza,Abbiamo bisogno di supporto per effettuare un audit di sicurezza.
Errore di avvio servizi secondari,I servizi secondari non si avviano correttamente.
Problema di affidabilità del sistema,Il sistema non garantisce un livello adeguato di affidabilità.
La piattaforma si è bloccata all’improvviso,La piattaforma di analisi dei dati si è bloccata all’improvviso mentre stavo lavorando su un progetto importante e ho perso tutte le modifiche non salvate.
Richiesta informazioni al supporto clienti,"Buongiorno, vi scrivo per avere maggiori informazioni su come migliorare le strategie digitali e rendere più efficienti i nostri processi."
Analisi dati per decisioni di investimento,Vi contatto perché sono interessato a capire come i vostri servizi di analisi dei dati possano supportare le decisioni di investimento.
Problemi nei servizi ospedalieri,"Si è verificato un problema nei servizi dell’ospedale legato al blocco dei dati multimediali, causando ritardi nelle attività quotidiane."
Segnalazione problema di sicurezza,"Buongiorno, vi segnalo una possibile criticità di sicurezza che ho notato nei vostri sistemi."
Non riesco ad accedere al sistema,Sto riscontrando problemi di accesso al sistema aziendale e non riesco ad autenticarmi correttamente.
Informazioni sulle soluzioni cloud,Vorrei ricevere qualche dettaglio in più sulle vostre soluzioni cloud per la gestione dei dati.
L’app continua a bloccarsi,Dopo l’ultimo aggiornamento l’applicazione si blocca spesso e diventa difficile lavorare.
Richiesta di supporto tecnico IT,Avrei bisogno di supporto tecnico per sistemare alcuni aspetti della nostra infrastruttura IT.
Difficoltà nell’integrare i dati,Stiamo avendo problemi nell’integrare dati provenienti da sistemi diversi all’interno della piattaforma.
Consulenza per analisi avanzate,Saremmo interessati a una consulenza su come utilizzare al meglio le analisi avanzate dei dati.
Servizio non disponibile,Il servizio risulta non disponibile senza alcun preavviso e questo sta creando disagi operativi.
Bug nel software,Ho notato un bug nel software che produce risultati incoerenti durante l’elaborazione dei dati.
Richiesta di una demo del prodotto,Sarei interessato a vedere una demo del vostro prodotto per capirne meglio le funzionalità.
Possibile problema di sicurezza dei dati,Credo ci sia un problema di sicurezza che potrebbe mettere a rischio alcuni dati sensibili.
Il sistema è molto lento,"Negli ultimi giorni il sistema è diventato molto lento, soprattutto con operazioni complesse."
Quando arriva il prossimo aggiornamento?,Vorrei sapere quando sarà disponibile il prossimo aggiornamento del software.
Report con dati errati,I report generati dal sistema non sembrano coerenti con i dati originali.
Aiuto per la migrazione dei dati,Avremmo bisogno di supporto per spostare i dati da un vecchio sistema a uno nuovo.
Problemi di compatibilità,Stiamo riscontrando problemi di compatibilità tra il vostro software e i nostri sistemi.
Chiarimenti sui costi,Potreste darmi qualche informazione in più sui costi e sui piani disponibili?
Tentativo di accesso sospetto,Abbiamo rilevato un tentativo di accesso sospetto al sistema.
Dati non sincronizzati,I dati non risultano sincronizzati correttamente tra i vari moduli.
Supporto per utilizzo API,Avrei bisogno di aiuto per integrare correttamente le vostre API.
Backup non completato,Il backup automatico non viene completato e non capiamo il motivo.
Richiesta di formazione,Saremmo interessati a fare formazione per utilizzare meglio la piattaforma.
Errore durante l’aggiornamento,Durante l’aggiornamento del sistema si è verificato un errore critico.
Dati visualizzati in modo errato,Alcuni dati non vengono mostrati correttamente nelle dashboard.
Aiuto per analisi predittive,Vorrei supporto per implementare modelli di analisi predittiva.
Richiesta documentazione,Avrei bisogno della documentazione tecnica più aggiornata.
Problemi con i permessi utente,Alcuni utenti non riescono ad accedere a determinate funzionalità.
Anomalia nel sistema,Abbiamo rilevato un comportamento anomalo del sistema che va verificato.
Integrazioni disponibili,Vorrei sapere con quali sistemi esterni la piattaforma può integrarsi.
Errori nei log,Nei log di sistema compaiono spesso errori durante l’elaborazione.
Limiti di scalabilità,Con grandi volumi di dati la piattaforma sembra andare in difficoltà.
Supporto urgente necessario,Abbiamo un problema critico e avremmo bisogno di supporto urgente.
Errore di configurazione iniziale,Credo ci sia un errore nella configurazione iniziale del sistema.
Problemi di latenza,Stiamo riscontrando forti ritardi nella comunicazione tra i servizi.
Audit di sicurezza,Saremmo interessati a fare un audit di sicurezza sui nostri sistemi.
Permessi non applicati correttamente,Alcuni permessi non vengono applicati come dovrebbero.
Errore nell’esportazione dei dati,Non riusciamo a esportare correttamente i dati in formato CSV.
Consulenza IT,Vorremmo una consulenza IT per migliorare l’architettura attuale.
Problemi di connessione al database,Il sistema perde spesso la connessione con il database.
Dati non aggiornati,I dati non si aggiornano in tempo reale come ci aspettavamo.
Supporto avanzato richiesto,Abbiamo bisogno di un supporto più avanzato per una configurazione personalizzata.
