id,title,body,category,priority
63,Fattura emessa in anticipo,La fattura risulta emessa prima dell’erogazione del servizio.,Amministrazione,media
64,Richiesta compensazione contabile,Chiediamo la compensazione contabile dell’importo.,Tecnico,bassa
65,Pagamento con importo errato,Il pagamento è stato effettuato con un importo errato.,Amministrazione,media
66,Errore imponibile,L’imponibile indicato non risulta corretto.,Tecnico,media
67,Fattura non trovata,Non riusciamo a trovare la fattura nei nostri archivi.,Amministrazione,media
68,Richiesta chiarimenti su fattura di acconto,Vorrei chiarimenti sulla fattura di acconto ricevuta.,Amministrazione,bassa
69,Pagamento contabilizzato in modo errato,Il pagamento risulta contabilizzato in modo errato.,Amministrazione,media
70,Errore data competenza,La data di competenza indicata non è corretta.,Tecnico,media
71,Richiesta invio fattura aggiornata,Potete inviarci la versione aggiornata della fattura?,Amministrazione,bassa
72,Fattura con importo zero,La fattura presenta un importo pari a zero.,Amministrazione,media
73,Pagamento parziale non registrato,Il pagamento parziale non risulta registrato.,Amministrazione,media
74,Errore calcolo IVA,L’IVA è stata calcolata in modo errato.,Amministrazione,media
75,Richiesta chiarimenti su autofattura,Avrei bisogno di chiarimenti sull’autofattura emessa.,Amministrazione,bassa
76,Fattura con riferimenti mancanti,In fattura mancano alcuni riferimenti obbligatori.,Amministrazione,media
77,Pagamento associato a cliente errato,Il pagamento è stato associato a un cliente errato.,Amministrazione,media
78,Errore arrotondamento IVA,È presente un errore di arrotondamento sull’IVA.,Amministrazione,media
79,Richiesta invio riepilogo contabile,Avremmo bisogno di un riepilogo contabile aggiornato.,Tecnico,bassa
80,Fattura con valuta non corretta,La valuta indicata in fattura non è corretta.,Amministrazione,media
81,Pagamento respinto per fondi insufficienti,Il pagamento è stato respinto per fondi insufficienti.,Amministrazione,media
82,Errore riferimento contratto,Il riferimento al contratto in fattura non è corretto.,Amministrazione,media
83,Richiesta chiarimenti su fattura di saldo,Vorrei chiarimenti sulla fattura di saldo ricevuta.,Amministrazione,bassa
84,Fattura con descrizione incompleta,La descrizione in fattura risulta incompleta.,Amministrazione,media
85,Pagamento non contabilizzato,Il pagamento non risulta contabilizzato.,Amministrazione,media
86,Errore applicazione ritenuta,La ritenuta applicata non è corretta.,Tecnico,media
87,Richiesta conferma chiusura contabile,Potete confermare la chiusura contabile del periodo?,Tecnico,bassa
88,Fattura con scadenza errata,La scadenza indicata in fattura non è corretta.,Amministrazione,media
89,Pagamento in compensazione,Il pagamento è stato effettuato in compensazione.,Amministrazione,media
90,Errore riferimento cliente,Il riferimento al cliente indicato non è corretto.,Tecnico,media
91,Richiesta supporto per riconciliazione,Avremmo bisogno di supporto per la riconciliazione contabile.,Tecnico,bassa
92,Fattura emessa per importo errato,La fattura è stata emessa per un importo errato.,Amministrazione,media
93,Pagamento non autorizzato,Il pagamento risulta non autorizzato.,Amministrazione,media
94,Errore descrizione costo,La descrizione del costo in fattura non è corretta.,Amministrazione,media
95,Richiesta conferma saldo cliente,Potete confermare il saldo attuale del cliente?,Tecnico,bassa
96,Arresto imprevisto della piattaforma di analisi dati,"La piattaforma di analisi dei dati si è arrestata improvvisamente durante l’elaborazione di un set di dati di grandi dimensioni, causando l’interruzione del flusso di lavoro e la perdita delle analisi non salvate.",Tecnico,media
97,Richiesta di assistenza clienti,"Gentile Assistenza Clienti, vi contatto per ottenere informazioni sulle strategie digitali che possono migliorare l’esperienza dei clienti e ottimizzare i processi interni.",Tecnico,bassa
98,Analisi dei dati per investimenti,Vi scrivo per richiedere informazioni sui vostri servizi di analisi dei dati applicati alle decisioni di investimento e alla gestione del rischio.,Tecnico,media
99,Problema nei servizi ospedalieri,"Si è verificato un problema nei servizi ospedalieri legato al blocco dei dati multimediali, che ha causato ritardi nelle operazioni cliniche.",Tecnico,media
100,Sicurezza,"Gentile Assistenza Clienti, vi scrivo per segnalare una potenziale vulnerabilità di sicurezza riscontrata nei vostri sistemi informativi.",Tecnico,media
101,Errore di accesso al sistema,Durante il tentativo di accesso al sistema aziendale si è verificato un errore che ha impedito l’autenticazione dell’utente.,Tecnico,media
102,Richiesta informazioni su soluzioni cloud,Sono interessato a ricevere maggiori dettagli sulle vostre soluzioni cloud per la gestione e l’archiviazione dei dati aziendali.,Tecnico,bassa
103,Malfunzionamento dell’applicazione,"L’applicazione ha smesso di funzionare correttamente dopo l’ultimo aggiornamento software, causando frequenti arresti.",Tecnico,media
104,Supporto tecnico per infrastruttura IT,Vi contatto per richiedere supporto tecnico relativo alla configurazione della nostra infrastruttura IT.,Tecnico,media
105,Problema di integrazione dei dati,Abbiamo riscontrato difficoltà nell’integrare i dati provenienti da più sistemi all’interno della piattaforma centrale.,Tecnico,media
106,Richiesta di consulenza analitica,Desidero ricevere una consulenza sui metodi di analisi avanzata dei dati per migliorare le performance aziendali.,Tecnico,bassa
107,Interruzione del servizio,"Il servizio è stato interrotto senza preavviso, causando disservizi alle operazioni quotidiane.",Tecnico,media
108,Segnalazione bug software,Vorrei segnalare un bug nel software che genera risultati incoerenti durante l’elaborazione dei dati.,Tecnico,media
109,Richiesta demo prodotto,Sono interessato a programmare una demo del vostro prodotto per valutarne le funzionalità.,Tecnico,bassa
110,Problema di sicurezza dei dati,È stato rilevato un potenziale problema di sicurezza che potrebbe compromettere la riservatezza dei dati sensibili.,Tecnico,media
111,Lentezza del sistema,Il sistema risulta particolarmente lento durante l’esecuzione di operazioni complesse sui dati.,Tecnico,media
112,Richiesta di aggiornamento software,Vi scrivo per sapere quando sarà disponibile il prossimo aggiornamento del software.,Tecnico,bassa
113,Errore nella reportistica,I report generati dal sistema presentano incongruenze rispetto ai dati di origine.,Tecnico,media
114,Supporto per migrazione dati,Abbiamo bisogno di supporto per la migrazione dei dati da un sistema legacy a una nuova piattaforma.,Tecnico,media
115,Problema di compatibilità,Sono emersi problemi di compatibilità tra il vostro software e alcuni dei nostri sistemi esistenti.,Tecnico,media
116,Richiesta informazioni su pricing,Potete fornirmi maggiori dettagli sui costi e sui piani tariffari disponibili?,Tecnico,bassa
117,Accesso non autorizzato,È stato rilevato un tentativo di accesso non autorizzato all’interno del sistema.,Tecnico,media
118,Errore di sincronizzazione,I dati non risultano correttamente sincronizzati tra i vari moduli dell’applicazione.,Tecnico,media
119,Richiesta supporto API,Desidero ricevere supporto tecnico per l’utilizzo e l’integrazione delle vostre API.,Tecnico,bassa
120,Problema di backup,Il processo di backup automatico non viene completato correttamente.,Tecnico,media
121,Richiesta formazione,Siamo interessati a sessioni di formazione sull’utilizzo avanzato della piattaforma.,Tecnico,bassa
122,Errore durante l’aggiornamento,Si è verificato un errore critico durante l’aggiornamento del sistema.,Tecnico,media
123,Problema di visualizzazione dati,Alcuni dati non vengono visualizzati correttamente all’interno delle dashboard.,Tecnico,media
124,Supporto per analisi predittiva,Vi contatto per ricevere supporto sull’implementazione di modelli di analisi predittiva.,Amministrazione,media
125,Richiesta documentazione tecnica,Avrei bisogno della documentazione tecnica aggiornata del prodotto.,Tecnico,bassa
126,Problema di autorizzazioni,Gli utenti non riescono ad accedere a determinate funzionalità a causa di problemi di autorizzazione.,Tecnico,media
127,Segnalazione anomalia di sistema,È stata rilevata un’anomalia di sistema che richiede verifica immediata.,Tecnico,media
128,Richiesta informazioni su integrazioni,Vorrei sapere quali integrazioni con sistemi di terze parti sono disponibili.,Tecnico,bassa
129,Errore nei log di sistema,I log di sistema mostrano errori ricorrenti durante l’elaborazione.,Tecnico,media
130,Problema di scalabilità,La piattaforma mostra limiti di scalabilità con volumi di dati elevati.,Tecnico,media
131,Richiesta supporto urgente,Necessitiamo di supporto urgente per risolvere un problema critico.,Tecnico,alta
132,Errore di configurazione,È stato individuato un errore nella configurazione iniziale del sistema.,Tecnico,media
133,Problema di latenza,Si riscontrano problemi di latenza nelle comunicazioni tra i servizi.,Tecnico,media
134,Richiesta audit di sicurezza,Siamo interessati a un audit di sicurezza dei nostri sistemi.,Tecnico,bassa
135,Errore nei permessi,Alcuni permessi non vengono applicati correttamente agli utenti.,Tecnico,media
136,Problema di esportazione dati,L’esportazione dei dati in formato CSV non va a buon fine.,Tecnico,media
137,Richiesta consulenza IT,Desideriamo una consulenza IT per ottimizzare l’architettura esistente.,Tecnico,bassa
138,Errore di connessione,Il sistema perde frequentemente la connessione al database.,Tecnico,media
139,Problema di aggiornamento dati,I dati non vengono aggiornati in tempo reale come previsto.,Tecnico,media
140,Richiesta supporto avanzato,Abbiamo bisogno di supporto avanzato per una configurazione personalizzata.,Tecnico,bassa
141,Errore di validazione,Il sistema segnala errori di validazione anche con dati corretti.,Tecnico,media
142,Problema di performance,Le performance complessive del sistema risultano inferiori alle aspettative.,Tecnico,media
143,Richiesta informazioni generali,Vi contatto per ricevere informazioni generali sui vostri servizi.,Tecnico,bassa
144,Richiesta supporto per reportistica avanzata,Vi contatto per ricevere assistenza sulla creazione di report avanzati e personalizzati a partire dai dati disponibili in piattaforma.,Tecnico,bassa
145,Errore nel caricamento dei dati,Durante il caricamento dei dati si verifica un errore che impedisce il completamento dell’operazione.,Tecnico,media
146,Problema di accesso multiutente,Più utenti riscontrano difficoltà ad accedere contemporaneamente al sistema.,Tecnico,media
147,Richiesta informazioni su sicurezza cloud,Desidero ricevere maggiori informazioni sulle misure di sicurezza adottate per i servizi cloud.,Tecnico,bassa
148,Errore di calcolo nei risultati,I risultati dell’analisi mostrano errori di calcolo rispetto ai dati di input.,Tecnico,media
149,Problema di integrazione API,L’integrazione tramite API non restituisce i dati attesi.,Tecnico,media
150,Richiesta supporto per dashboard,Abbiamo bisogno di supporto per configurare correttamente le dashboard di monitoraggio.,Tecnico,bassa
151,Interruzione programmata del servizio,Vorrei ricevere conferma sulle tempistiche dell’interruzione programmata del servizio.,Tecnico,media
152,Errore di esportazione PDF,L’esportazione dei report in formato PDF non viene completata correttamente.,Tecnico,media
153,Problema di autenticazione,Il sistema di autenticazione non riconosce correttamente le credenziali degli utenti.,Tecnico,media
154,Richiesta ottimizzazione performance,Desideriamo suggerimenti per migliorare le performance complessive della piattaforma.,Tecnico,bassa
155,Errore nella gestione utenti,Si riscontrano anomalie nella creazione e modifica degli utenti.,Tecnico,media
156,Problema di duplicazione dati,Alcuni record risultano duplicati dopo l’importazione dei dati.,Tecnico,media
157,Richiesta informazioni su compliance,Vorrei informazioni sulla conformità della piattaforma alle normative vigenti.,Tecnico,bassa
158,Errore di timeout,Le operazioni di elaborazione superano frequentemente il tempo massimo consentito.,Tecnico,media
159,Problema di aggiornamento automatico,L’aggiornamento automatico dei dati non avviene con la frequenza prevista.,Tecnico,media
160,Richiesta supporto per configurazione iniziale,Abbiamo bisogno di assistenza nella fase di configurazione iniziale del sistema.,Tecnico,bassa
161,Errore nella visualizzazione grafici,Alcuni grafici non vengono visualizzati correttamente nelle dashboard.,Tecnico,media
162,Problema di compatibilità browser,La piattaforma presenta problemi di funzionamento con alcuni browser.,Tecnico,media
163,Richiesta accesso a funzionalità avanzate,Vorrei sapere come abilitare le funzionalità avanzate per il nostro account.,Tecnico,bassa
164,Errore nei processi batch,I processi batch notturni terminano con errori non previsti.,Tecnico,media
165,Problema di gestione permessi,I permessi assegnati agli utenti non vengono applicati correttamente.,Tecnico,media
166,Richiesta informazioni su SLA,Potete fornire dettagli sugli accordi di livello di servizio disponibili?,Tecnico,bassa
167,Errore di connessione ai servizi esterni,La piattaforma non riesce a collegarsi correttamente a servizi esterni.,Tecnico,media
168,Problema di sincronizzazione in tempo reale,I dati non risultano sincronizzati in tempo reale tra i sistemi.,Tecnico,media
169,Richiesta supporto per analisi statistiche,Desideriamo supporto per l’implementazione di analisi statistiche avanzate.,Tecnico,bassa
170,Errore nel salvataggio delle modifiche,Le modifiche apportate non vengono salvate correttamente.,Tecnico,media
171,Problema di gestione notifiche,Le notifiche di sistema non vengono inviate come previsto.,Tecnico,media
172,Richiesta informazioni su roadmap prodotto,Vorrei conoscere le prossime evoluzioni previste per il prodotto.,Tecnico,bassa
173,Errore di parsing dei dati,Il sistema segnala errori durante il parsing dei dati in ingresso.,Tecnico,media
174,Problema di carico del sistema,Il sistema va in sovraccarico durante i picchi di utilizzo.,Tecnico,media
175,Richiesta supporto per esportazione dati,Abbiamo bisogno di assistenza per esportare grandi volumi di dati.,Tecnico,bassa
176,Errore nella pianificazione processi,La pianificazione automatica dei processi non funziona correttamente.,Tecnico,alta
177,Problema di latenza API,Le chiamate API presentano latenze elevate.,Tecnico,media
178,Richiesta informazioni su backup e recovery,Vorrei dettagli sulle procedure di backup e ripristino dei dati.,Tecnico,bassa
179,Errore di autorizzazione,Il sistema restituisce errori di autorizzazione anche per utenti abilitati.,Tecnico,media
180,Problema di configurazione rete,Sono presenti problemi legati alla configurazione di rete.,Tecnico,media
181,Richiesta supporto per sicurezza applicativa,Desideriamo supporto per migliorare la sicurezza applicativa.,Amministrazione,bassa
182,Errore nei dati aggregati,I dati aggregati non risultano coerenti con i dati di dettaglio.,Tecnico,media
183,Problema di gestione sessioni,Le sessioni utente scadono in modo anomalo.,Tecnico,media
184,Richiesta consulenza su architettura dati,Avremmo bisogno di una consulenza sull’architettura dei dati.,Tecnico,bassa
185,Errore di importazione CSV,L’importazione di file CSV genera errori non previsti.,Tecnico,media
186,Problema di monitoraggio,Il sistema di monitoraggio non rileva correttamente alcune anomalie.,Tecnico,media
187,Richiesta supporto per personalizzazioni,Desideriamo assistenza per personalizzare alcune funzionalità.,Tecnico,bassa
188,Errore di aggiornamento configurazioni,Le configurazioni aggiornate non vengono applicate correttamente.,Tecnico,media
189,Problema di gestione log,I log di sistema non vengono registrati in modo completo.,Tecnico,media
190,Richiesta informazioni su licenze,Potete fornire dettagli sulle tipologie di licenze disponibili?,Tecnico,bassa
191,Errore di avvio del servizio,Il servizio non si avvia correttamente dopo il riavvio.,Tecnico,media
192,Problema di consistenza dei dati,Sono state rilevate incongruenze nella consistenza dei dati.,Tecnico,media
193,Richiesta supporto per gestione incidenti,Vi contatto per ricevere supporto nella gestione strutturata degli incidenti di sistema.,Tecnico,bassa
194,Errore nella pianificazione backup,La pianificazione dei backup automatici presenta errori ricorrenti.,Tecnico,media
195,Problema di accesso ai report,Alcuni utenti non riescono ad accedere ai report disponibili.,Tecnico,media
196,Richiesta informazioni su crittografia dati,Vorrei maggiori informazioni sulle tecniche di crittografia utilizzate per la protezione dei dati.,Tecnico,bassa
197,Errore nella gestione transazioni,Si verificano errori nella gestione delle transazioni di sistema.,Tecnico,media
198,Problema di aggiornamento modelli analitici,I modelli analitici non vengono aggiornati correttamente.,Tecnico,media
199,Richiesta supporto per orchestrazione servizi,Abbiamo bisogno di assistenza per l’orchestrazione dei servizi applicativi.,Tecnico,bassa
200,Errore di validazione configurazioni,Le configurazioni inserite non superano i controlli di validazione.,Tecnico,media
201,Problema di isolamento ambienti,Gli ambienti di test e produzione non risultano correttamente isolati.,Tecnico,media
202,Richiesta informazioni su audit interni,Vorrei informazioni sulle procedure di audit interno disponibili.,Tecnico,bassa
203,Errore nella gestione dei workflow,I workflow configurati non vengono eseguiti correttamente.,Tecnico,media
204,Problema di archiviazione documentale,Si riscontrano problemi nell’archiviazione dei documenti.,Tecnico,media
205,Richiesta supporto per data quality,Desideriamo supporto per migliorare la qualità dei dati.,Tecnico,bassa
206,Errore di replica servizi,La replica dei servizi non funziona come previsto.,Tecnico,alta
207,Problema di compatibilità hardware,La piattaforma presenta problemi con alcune configurazioni hardware.,Tecnico,media
208,Richiesta informazioni su disaster recovery,Vorrei ricevere dettagli sulle soluzioni di disaster recovery.,Tecnico,bassa
209,Errore di gestione configurazioni dinamiche,Le configurazioni dinamiche non vengono applicate correttamente.,Tecnico,media
210,Problema di bilanciamento del carico,Il bilanciamento del carico non distribuisce correttamente le richieste.,Tecnico,media
211,Richiesta supporto per controllo accessi,Abbiamo bisogno di assistenza per il controllo degli accessi.,Tecnico,bassa
212,Errore nei processi di validazione dati,I processi di validazione dei dati producono risultati errati.,Tecnico,media
213,Problema di aggiornamento metadati,I metadati non vengono aggiornati correttamente.,Tecnico,media
214,Richiesta informazioni su conformità normativa,Vorrei informazioni sulla conformità normativa della piattaforma.,Amministrazione,bassa
215,Errore di sincronizzazione configurazioni,Le configurazioni non risultano sincronizzate tra gli ambienti.,Tecnico,media
216,Problema di gestione dipendenze,La gestione delle dipendenze software presenta criticità.,Tecnico,media
217,Richiesta supporto per ottimizzazione costi,Desideriamo supporto per ottimizzare i costi infrastrutturali.,Tecnico,bassa
218,Errore nella gestione code messaggi,Le code di messaggi non vengono elaborate correttamente.,Tecnico,media
219,Problema di disponibilità servizio,Il servizio non è sempre disponibile durante l’orario operativo.,Tecnico,media
220,Richiesta consulenza su scalabilità,Avremmo bisogno di una consulenza sulle strategie di scalabilità.,Tecnico,bassa
221,Errore di aggiornamento policy,Le policy di sicurezza non vengono aggiornate correttamente.,Tecnico,media
222,Problema di tracciamento eventi,Il tracciamento degli eventi non risulta completo.,Tecnico,media
223,Richiesta supporto per sicurezza perimetrale,Desideriamo migliorare la sicurezza perimetrale dei sistemi.,Tecnico,bassa
224,Errore di configurazione storage,La configurazione dello storage presenta errori.,Tecnico,media
225,Problema di gestione snapshot,La gestione delle snapshot non funziona correttamente.,Tecnico,alta
226,Richiesta informazioni su standard di sicurezza,Vorrei informazioni sugli standard di sicurezza adottati.,Tecnico,bassa
227,Errore nella gestione delle notifiche critiche,Le notifiche critiche non vengono inviate correttamente.,Tecnico,media
228,Problema di consistenza configurazioni,Sono presenti incongruenze nelle configurazioni.,Tecnico,media
229,Richiesta supporto per migrazione cloud,Abbiamo bisogno di supporto per la migrazione verso il cloud.,Tecnico,bassa
230,Errore di allocazione spazio disco,Si verificano errori nell’allocazione dello spazio disco.,Tecnico,media
231,Problema di monitoraggio prestazioni,Il monitoraggio delle prestazioni non fornisce dati accurati.,Tecnico,media
232,Richiesta informazioni su supporto h24,Vorrei informazioni sulle opzioni di supporto attivo 24/7.,Tecnico,bassa
233,Errore di gestione credenziali,Il sistema non gestisce correttamente le credenziali.,Tecnico,media
234,Problema di sicurezza infrastrutturale,Sono state individuate criticità nella sicurezza infrastrutturale.,Tecnico,media
235,Richiesta consulenza su continuità operativa,Desideriamo una consulenza sulla continuità operativa.,Amministrazione,bassa
236,Errore di sincronizzazione log,I log non vengono sincronizzati correttamente.,Tecnico,media
237,Problema di gestione configurazioni centralizzate,La gestione centralizzata delle configurazioni presenta problemi.,Tecnico,media
238,Richiesta informazioni su piani di servizio,Vorrei informazioni sui diversi piani di servizio disponibili.,Tecnico,bassa
239,Errore di arresto anomalo del servizio,Il servizio si arresta in modo anomalo senza preavviso.,Tecnico,media
240,Richiesta supporto per gestione capacità,Vi contatto per ricevere supporto nella gestione della capacità infrastrutturale.,Tecnico,bassa
241,Errore nella configurazione dei servizi,Alcuni servizi risultano configurati in modo errato.,Tecnico,media
242,Problema di accesso ai dati storici,Non è possibile accedere correttamente ai dati storici archiviati.,Tecnico,media
243,Richiesta informazioni su continuità del servizio,Vorrei ricevere dettagli sulle misure adottate per garantire la continuità del servizio.,Tecnico,bassa
244,Errore nella gestione dei certificati SSL,I certificati SSL non vengono gestiti correttamente dal sistema.,Tecnico,media
245,Problema di aggiornamento sistemi legacy,I sistemi legacy non vengono aggiornati correttamente.,Tecnico,media
246,Richiesta supporto per segmentazione rete,Abbiamo bisogno di assistenza per la segmentazione della rete.,Tecnico,bassa
247,Errore di sincronizzazione database,La sincronizzazione del database presenta errori ricorrenti.,Tecnico,media
248,Problema di disponibilità risorse,Le risorse di sistema non risultano sempre disponibili.,Tecnico,media
249,Richiesta informazioni su policy di retention,Vorrei informazioni sulle policy di conservazione dei dati.,Tecnico,bassa
250,Errore nella gestione delle dipendenze applicative,Le dipendenze applicative non vengono risolte correttamente.,Tecnico,media
251,Problema di configurazione DNS,Sono presenti errori nella configurazione DNS.,Tecnico,media
252,Richiesta supporto per sicurezza dei container,Desideriamo supporto per migliorare la sicurezza dei container.,Tecnico,bassa
253,Errore di aggiornamento sistemi distribuiti,L’aggiornamento dei sistemi distribuiti non va a buon fine.,Tecnico,media
254,Problema di orchestrazione container,L’orchestrazione dei container non funziona correttamente.,Tecnico,alta
255,Richiesta informazioni su standard di compliance,Vorrei informazioni sugli standard di compliance supportati.,Tecnico,bassa
256,Errore nella gestione delle chiavi crittografiche,Le chiavi crittografiche non vengono gestite correttamente.,Tecnico,media
257,Problema di accesso ai servizi interni,Alcuni servizi interni non sono raggiungibili.,Tecnico,media
258,Richiesta supporto per logging centralizzato,Abbiamo bisogno di assistenza per implementare un logging centralizzato.,Tecnico,bassa
259,Errore di configurazione load balancer,Il load balancer non è configurato correttamente.,Tecnico,media
260,Problema di gestione patch di sicurezza,Le patch di sicurezza non vengono applicate correttamente.,Tecnico,media
261,Richiesta informazioni su certificazioni ISO,Vorrei informazioni sulle certificazioni ISO possedute.,Tecnico,bassa
262,Errore di sincronizzazione ambienti,Gli ambienti non risultano sincronizzati correttamente.,Tecnico,media
263,Problema di gestione backup incrementali,I backup incrementali non vengono eseguiti correttamente.,Tecnico,media
264,Richiesta supporto per ottimizzazione database,Desideriamo supporto per ottimizzare le prestazioni del database.,Tecnico,bassa
265,Errore nella gestione delle configurazioni di rete,Le configurazioni di rete presentano errori.,Tecnico,media
266,Problema di disponibilità applicativa,L’applicazione non è sempre disponibile.,Amministrazione,media
